,realSum,room_type,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,rest_index,lng,lat,CIUDAD,WEEK-END,realSum_unit,Haversine
0,194.03369812293488,Private room,2.0,False,1,0,10.0,93.0,1,5.022963798088291,2.539380002594493,78.69037927190317,98.25389587009934,4.90569,52.41772,amsterdam,Week,97.01684906146744,5846.52644264607
1,344.2457760176224,Private room,4.0,False,0,0,8.0,85.0,1,0.4883892888289836,0.2394039228349863,631.1763782503964,837.2807567422693,4.90005,52.37432,amsterdam,Week,86.0614440044056,5841.687430486467
2,264.1014224451058,Private room,2.0,False,0,1,9.0,87.0,1,5.748311915159562,3.651621288793656,75.27587691428164,95.3869549262145,4.97512,52.36103,amsterdam,Week,132.0507112225529,5840.771088329192
3,433.5293979799874,Private room,4.0,False,0,1,9.0,90.0,2,0.384862012821602,0.4398760761319157,493.27253443070873,875.0330975776227,4.89417,52.37663,amsterdam,Week,108.38234949499684,5841.899872352046
4,485.5529257375859,Private room,2.0,True,0,0,10.0,98.0,1,0.5447381834292384,0.3186926468416831,552.8303243593364,815.3057399687838,4.90051,52.37508,amsterdam,Week,242.77646286879295,5841.774808424567
5,552.808567478265,Private room,3.0,False,0,0,8.0,100.0,2,2.13142008057136,1.904668241410844,174.7889567505081,225.20166237399388,4.87699,52.38966,amsterdam,Week,184.269522492755,5843.215279962103
6,215.12431748412348,Private room,2.0,False,0,0,10.0,94.0,1,1.8810915643710744,0.7297467390303181,200.1676516320246,242.76552365826512,4.9157,52.38296,amsterdam,Week,107.56215874206174,5842.757051741787
8,1001.8044196564572,Entire home/apt,4.0,False,0,0,9.0,96.0,2,3.719141398657261,1.1961123528716675,106.22645621714616,133.87620194208236,4.86459,52.40175,amsterdam,Week,250.4511049141143,5844.4619356099665
9,276.52145384669467,Private room,2.0,False,1,0,10.0,88.0,1,3.142361425629701,0.9244044386046626,206.2528615435097,238.29125778441968,4.876,52.347,amsterdam,Week,138.26072692334733,5838.491794070116
10,909.4743748974762,Entire home/apt,2.0,False,0,0,10.0,96.0,1,1.0099220248634968,0.9171150679278918,409.8581244623681,555.1142756474727,4.87956,52.36953,amsterdam,Week,454.7371874487381,5841.008497033378
11,319.6400534295691,Private room,2.0,True,1,0,10.0,97.0,1,2.182707104451588,1.590381362751412,191.50133917980733,229.29740063380305,4.92496,52.37107,amsterdam,Week,159.82002671478455,5841.510604767648
12,675.6028402034074,Entire home/apt,4.0,False,0,0,8.0,87.0,1,2.9330458432919566,0.6280730466725806,214.9233419303541,269.6249040166742,4.88934,52.34697,amsterdam,Week,168.90071005085184,5838.585684011222
13,552.808567478265,Entire home/apt,2.0,True,0,0,10.0,100.0,1,1.3054939315898395,1.3421624076909515,325.2559516150373,390.9120520454746,4.87417,52.37509,amsterdam,Week,276.4042837391325,5841.58398996555
14,209.03147189089125,Private room,2.0,False,1,0,8.0,96.0,1,7.304535266554101,3.720813885628837,59.7761806926462,75.70105653114125,4.99679,52.35645,amsterdam,Week,104.51573594544563,5840.4260336378275
15,368.8514986056758,Private room,2.0,True,0,0,10.0,98.0,1,1.0311006089592691,0.5578845347320643,359.92193215168265,439.950562026628,4.9080900000000005,52.37455,amsterdam,Week,184.4257493028379,5841.7716398312195
16,368.8514986056758,Private room,2.0,False,0,0,10.0,90.0,1,1.327797157439684,0.119528106734041,539.0128842344288,573.8965719683101,4.88971,52.36148,amsterdam,Week,184.4257493028379,5840.19248673071
17,337.91859020926586,Private room,2.0,True,1,0,10.0,97.0,1,1.3663342379671055,0.5349334596105503,576.0828256376159,845.9576160170283,4.88368,52.362390000000005,amsterdam,Week,168.95929510463293,5840.2491374222345
18,313.54720783633684,Private room,2.0,True,1,0,10.0,96.0,1,1.2897592303027183,0.5521164877855617,528.9405557143664,1023.9047849216062,4.8839,52.3631,amsterdam,Week,156.77360391816842,5840.329232783239
19,447.5898108874465,Entire home/apt,2.0,False,1,0,9.0,93.0,1,1.0576193314364548,1.0653391259990903,422.8529061953185,476.69699183882113,4.87757,52.37336,amsterdam,Week,223.79490544372325,5841.4174457445015
20,243.2451432990416,Private room,2.0,True,1,0,10.0,96.0,1,2.8706328438025386,1.2788940751193616,169.6957545063243,210.26769212497268,4.85206,52.367340000000006,amsterdam,Week,121.6225716495208,5840.566827877438
21,933.8457572704052,Entire home/apt,4.0,False,0,0,10.0,96.0,2,1.0140664267918649,0.3771036873075551,477.7940701845302,664.0532506071172,4.89088,52.36422,amsterdam,Week,233.4614393176013,5840.5039319010275
22,251.91573125864133,Private room,2.0,False,1,0,10.0,97.0,1,1.2470836669767065,1.098774337645081,267.325989604784,366.4646497953599,4.886419999999999,52.38367,amsterdam,Week,125.95786562932066,5842.6216639427485
23,377.2877463501512,Private room,2.0,False,0,0,10.0,98.0,1,1.1674923014349312,0.9837430031835354,278.80059538006617,383.5778925726072,4.88799,52.38325,amsterdam,Week,188.6438731750756,5842.586667714207
24,245.5885454502848,Private room,2.0,True,1,0,10.0,96.0,1,4.230634296706812,2.687144039939682,92.21360220413766,116.21714372500834,4.89595,52.41122,amsterdam,Week,122.7942727251424,5845.73680649939
